Partition Size, Serial Trapezoidal Approximation, Time, Error, Abs Error,,Partition Size, Parallel Trapezoidal Approximation, Time, Error, Abs Error
22801,1,0.009331,1.47E-07,1.47E-07,,22801,0.983614,0.06686,1.64E-02,1.64E-02
22901,1,0.009449,1.46E-07,1.46E-07,,22901,0.948505,0.132788,5.15E-02,5.15E-02
23001,1,0.009449,1.45E-07,1.45E-07,,23001,0.985631,0.132742,1.44E-02,1.44E-02
23101,1,0.009471,1.45E-07,1.45E-07,,23101,0.447879,0.079775,5.52E-01,5.52E-01
23201,1,0.009498,1.44E-07,1.44E-07,,23201,0.936928,0.116486,6.31E-02,6.31E-02
23301,1,0.009574,1.44E-07,1.44E-07,,23301,0.988299,0.092458,1.17E-02,1.17E-02
23401,1,0.009968,1.43E-07,1.43E-07,,23401,0.982426,0.117447,1.76E-02,1.76E-02
23501,1,0.009628,1.43E-07,1.43E-07,,23501,0.980558,0.125863,1.94E-02,1.94E-02
23601,1,0.009718,1.42E-07,1.42E-07,,23601,1,0.126784,1.42E-07,1.42E-07
23701,1,0.009729,1.42E-07,1.42E-07,,23701,0.989093,0.125469,1.09E-02,1.09E-02
23801,1,0.009773,1.41E-07,1.41E-07,,23801,0.999729,0.157269,2.71E-04,2.71E-04
23901,1,0.010167,1.41E-07,1.41E-07,,23901,1.000001,0.161576,-5.90E-07,5.90E-07
24001,1,0.009885,1.40E-07,1.40E-07,,24001,0.997778,0.098199,2.22E-03,2.22E-03
24101,1,0.010262,1.40E-07,1.40E-07,,24101,0.999843,0.084269,1.57E-04,1.57E-04
24201,1,0.009939,1.39E-07,1.39E-07,,24201,0.999655,0.127596,3.45E-04,3.45E-04
24301,1,0.009949,1.39E-07,1.39E-07,,24301,0.914082,0.104892,8.59E-02,8.59E-02
24401,1,0.00999,1.38E-07,1.38E-07,,24401,0.982963,0.123176,1.70E-02,1.70E-02
24501,1,0.010034,1.38E-07,1.38E-07,,24501,0.981163,0.077409,1.88E-02,1.88E-02
24601,1,0.010455,1.38E-07,1.38E-07,,24601,0.986627,0.103029,1.34E-02,1.34E-02
24701,1,0.010113,1.37E-07,1.37E-07,,24701,0.983711,0.128922,1.63E-02,1.63E-02
24801,1,0.010151,1.37E-07,1.37E-07,,24801,0.949254,0.134685,5.07E-02,5.07E-02
24901,1,0.010222,1.36E-07,1.36E-07,,24901,0.946893,0.057188,5.31E-02,5.31E-02
25001,1,0.010285,1.36E-07,1.36E-07,,25001,0.999994,0.144425,6.20E-06,6.20E-06
25101,1,0.01028,1.35E-07,1.35E-07,,25101,0.998762,0.136819,1.24E-03,1.24E-03
25201,1,0.010383,1.35E-07,1.35E-07,,25201,0.99804,0.103075,1.96E-03,1.96E-03
25301,1,0.010352,1.35E-07,1.35E-07,,25301,0.981164,0.124361,1.88E-02,1.88E-02
25401,1,0.010398,1.34E-07,1.34E-07,,25401,0.981991,0.088888,1.80E-02,1.80E-02
25501,1,0.010468,1.34E-07,1.34E-07,,25501,0.98914,0.061764,1.09E-02,1.09E-02
25601,1,0.010471,1.33E-07,1.33E-07,,25601,0.966818,0.126616,3.32E-02,3.32E-02
